Entity,Code,Year,"Hazardous waste generated, per capita (Kg)"
Algeria,DZA,2003,10.14
Algeria,DZA,2007,9.57
Andorra,AND,2013,13.68
Andorra,AND,2014,29.06
Andorra,AND,2015,24.92
Andorra,AND,2016,26.52
Andorra,AND,2017,20.69
Andorra,AND,2018,19.3
Andorra,AND,2019,17.08
Andorra,AND,2020,15.04
Andorra,AND,2021,15.13
Argentina,ARG,2016,16.77
Argentina,ARG,2017,22.77
Argentina,ARG,2018,17.56
Argentina,ARG,2019,17.24
Argentina,ARG,2020,21.53
Argentina,ARG,2021,20.56
Armenia,ARM,2000,120.43
Armenia,ARM,2001,119.85
Armenia,ARM,2002,121.71
Armenia,ARM,2003,111.57
Armenia,ARM,2004,114.62
Armenia,ARM,2005,113.65
Armenia,ARM,2006,116.4
Armenia,ARM,2007,120.58
Armenia,ARM,2008,146.56
Armenia,ARM,2009,148.78
Armenia,ARM,2010,147.78
Armenia,ARM,2011,158.04
Armenia,ARM,2012,161.44
Armenia,ARM,2013,199.58
Armenia,ARM,2014,199.46
Armenia,ARM,2015,192.83
Armenia,ARM,2016,214.76
Armenia,ARM,2017,188.58
Armenia,ARM,2018,180.1
Armenia,ARM,2019,202.27
Armenia,ARM,2020,9104.12
Armenia,ARM,2021,8954.81
Austria,AUT,2004,124
Austria,AUT,2006,116
Austria,AUT,2008,160
Austria,AUT,2010,176
Austria,AUT,2012,126
Austria,AUT,2014,149
Austria,AUT,2016,144
Austria,AUT,2018,149
Austria,AUT,2020,144
Austria,AUT,2022,163
Azerbaijan,AZE,2000,3.24
Azerbaijan,AZE,2001,1.98
Azerbaijan,AZE,2002,1.17
Azerbaijan,AZE,2003,3.17
Azerbaijan,AZE,2004,1.31
Azerbaijan,AZE,2005,1.48
Azerbaijan,AZE,2006,3.37
Azerbaijan,AZE,2007,1.18
Azerbaijan,AZE,2008,2.7
Azerbaijan,AZE,2009,14.46
Azerbaijan,AZE,2010,15.15
Azerbaijan,AZE,2011,19.84
Azerbaijan,AZE,2012,31.31
Azerbaijan,AZE,2013,21.1
Azerbaijan,AZE,2014,46.87
Azerbaijan,AZE,2015,19.44
Azerbaijan,AZE,2016,63.01
Azerbaijan,AZE,2017,18.59
Azerbaijan,AZE,2018,31.44
Azerbaijan,AZE,2019,29.02
Azerbaijan,AZE,2020,27.57
Azerbaijan,AZE,2021,23.78
Bahrain,BHR,2000,196.78
Bahrain,BHR,2001,191.71
Bahrain,BHR,2002,187.08
Bahrain,BHR,2003,43.19
Bahrain,BHR,2004,39.6
Bahrain,BHR,2005,42.36
Bahrain,BHR,2006,39.9
Bahrain,BHR,2007,33.64
Bahrain,BHR,2010,59.67
Bahrain,BHR,2011,58.29
Bahrain,BHR,2012,62.55
Bahrain,BHR,2013,58.57
Bahrain,BHR,2014,55.86
Bahrain,BHR,2015,55.01
Bahrain,BHR,2016,51.39
Bahrain,BHR,2017,49.27
Bahrain,BHR,2018,54.56
Bahrain,BHR,2019,61.89
Bangladesh,BGD,2007,0.14
Bangladesh,BGD,2012,0.19
Bangladesh,BGD,2019,54.27
Bangladesh,BGD,2020,56.74
Bangladesh,BGD,2021,64.17
Belarus,BLR,2000,7.12
