Entity,Code,Year,Municipal waste recycled (Tonnes)
Algeria,DZA,2014,481681
Algeria,DZA,2020,1055323.8
Andorra,AND,2000,0
Andorra,AND,2001,0
Andorra,AND,2002,0
Andorra,AND,2003,0
Andorra,AND,2004,0
Andorra,AND,2005,0
Andorra,AND,2006,0
Andorra,AND,2007,0
Andorra,AND,2008,0
Andorra,AND,2009,0
Andorra,AND,2010,0
Andorra,AND,2011,0
Andorra,AND,2012,0
Andorra,AND,2013,0
Andorra,AND,2014,0
Andorra,AND,2015,0
Andorra,AND,2016,0
Andorra,AND,2017,0
Andorra,AND,2018,0
Andorra,AND,2019,0
Andorra,AND,2020,0
Andorra,AND,2021,0
Anguilla,AIA,2001,0
Anguilla,AIA,2002,0
Anguilla,AIA,2003,0
Anguilla,AIA,2004,0
Anguilla,AIA,2005,0
Anguilla,AIA,2006,0
Anguilla,AIA,2007,0
Anguilla,AIA,2008,0
Argentina,ARG,2005,739500
Argentina,ARG,2010,821640
Argentina,ARG,2019,1131781.5
Argentina,ARG,2020,1142813.8
Argentina,ARG,2021,1153693.2
Australia,AUS,2003,2701000
Australia,AUS,2007,4004599
Australia,AUS,2008,4019500
Australia,AUS,2009,4312511
Australia,AUS,2010,4381199
Australia,AUS,2011,4532209
Australia,AUS,2012,4313666.5
Australia,AUS,2013,4234333.5
Australia,AUS,2014,4188907
Australia,AUS,2015,4143517
Australia,AUS,2016,3502336
Australia,AUS,2017,3094730
Australia,AUS,2018,2830496
Australia,AUS,2019,2820775
Australia,AUS,2020,2282176
Australia,AUS,2021,2422972
Austria,AUT,2000,2947000
Austria,AUT,2001,2980000
Austria,AUT,2002,3070000
Austria,AUT,2003,3165000
Austria,AUT,2004,2688000
Austria,AUT,2005,2757000
Austria,AUT,2006,2920000
Austria,AUT,2007,2979000
Austria,AUT,2008,3159000
Austria,AUT,2009,3045000
Austria,AUT,2010,2792000
Austria,AUT,2011,2724000
Austria,AUT,2012,2818000
Austria,AUT,2013,2829000
Austria,AUT,2014,2723000
Austria,AUT,2015,2752000
Austria,AUT,2016,2838000
