Country,Year,Value,Series,Series Description
Africa,2010.0,1639721.147,EN_EWT_GENV,E-waste generated (tonnes)
Africa,2011.0,1808876.59,EN_EWT_GENV,E-waste generated (tonnes)
Africa,2012.0,1978971.601,EN_EWT_GENV,E-waste generated (tonnes)
Africa,2013.0,2146823.358,EN_EWT_GENV,E-waste generated (tonnes)
Africa,2014.0,2310888.05,EN_EWT_GENV,E-waste generated (tonnes)
Africa,2015.0,2471775.169,EN_EWT_GENV,E-waste generated (tonnes)
Africa,2016.0,2633118.903,EN_EWT_GENV,E-waste generated (tonnes)
Africa,2017.0,2797377.866,EN_EWT_GENV,E-waste generated (tonnes)
Africa,2018.0,2961591.819,EN_EWT_GENV,E-waste generated (tonnes)
Africa,2019.0,3121361.187,EN_EWT_GENV,E-waste generated (tonnes)
Africa,2020.0,3268033.081,EN_EWT_GENV,E-waste generated (tonnes)
Africa,2021.0,3408437.945,EN_EWT_GENV,E-waste generated (tonnes)
Africa,2022.0,3550994.92,EN_EWT_GENV,E-waste generated (tonnes)
Africa,2023.0,3701733.324,EN_EWT_GENV,E-waste generated (tonnes)
Africa,2024.0,3861028.211,EN_EWT_GENV,E-waste generated (tonnes)
Africa,2025.0,4028456.062,EN_EWT_GENV,E-waste generated (tonnes)
Americas,2010.0,9068309.1,EN_EWT_GENV,E-waste generated (tonnes)
Americas,2011.0,9653389.457,EN_EWT_GENV,E-waste generated (tonnes)
Americas,2012.0,10239006.55,EN_EWT_GENV,E-waste generated (tonnes)
Americas,2013.0,10804115.44,EN_EWT_GENV,E-waste generated (tonnes)
Americas,2014.0,11327996.4,EN_EWT_GENV,E-waste generated (tonnes)
Americas,2015.0,11820071.7,EN_EWT_GENV,E-waste generated (tonnes)
Americas,2016.0,12286181.61,EN_EWT_GENV,E-waste generated (tonnes)
Americas,2017.0,12708434.53,EN_EWT_GENV,E-waste generated (tonnes)
Americas,2018.0,13103548.19,EN_EWT_GENV,E-waste generated (tonnes)
Americas,2019.0,13478000.98,EN_EWT_GENV,E-waste generated (tonnes)
Americas,2020.0,13810043.55,EN_EWT_GENV,E-waste generated (tonnes)
Americas,2021.0,14123469.87,EN_EWT_GENV,E-waste generated (tonnes)
Americas,2022.0,14427319.26,EN_EWT_GENV,E-waste generated (tonnes)
Americas,2023.0,14725040.52,EN_EWT_GENV,E-waste generated (tonnes)
Americas,2024.0,15025051.28,EN_EWT_GENV,E-waste generated (tonnes)
Americas,2025.0,15331665.74,EN_EWT_GENV,E-waste generated (tonnes)
Asia,2010.0,13259154.57,EN_EWT_GENV,E-waste generated (tonnes)
