attributes,basePeriod,dimensions,footnotes,geoAreaCode,geoAreaName,geoInfoUrl,goal,indicator,lowerBound,series,seriesCount,seriesDescription,source,target,timeCoverage,timePeriodStart,time_detail,upperBound,value,valueType
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2010.0,,,1855.24866,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2011.0,,,2000,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2012.0,,,79.33206,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2013.0,,,84.59815,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2014.0,,,89.85781,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2015.0,,,17831.1117,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2016.0,,,18723.38045,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2017.0,,,19606.66623,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2018.0,,,21428.53415,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2019.0,,,22862.78619,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2020.0,,,23818.50681,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2021.0,,,24554.48494,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2022.0,,,25331.16054,Float
