attributes,basePeriod,dimensions,footnotes,geoAreaCode,geoAreaName,geoInfoUrl,goal,indicator,lowerBound,series,seriesCount,seriesDescription,source,target,timeCoverage,timePeriodStart,time_detail,upperBound,value,valueType
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.4.2'],,EN_EWT_GENV,960,Electronic waste generated (Tonnes),UNITAR / WESR,['12.4'],,2010.0,,,1639721.147,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.4.2'],,EN_EWT_GENV,960,Electronic waste generated (Tonnes),UNITAR / WESR,['12.4'],,2011.0,,,1808876.59,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.4.2'],,EN_EWT_GENV,960,Electronic waste generated (Tonnes),UNITAR / WESR,['12.4'],,2012.0,,,1978971.601,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.4.2'],,EN_EWT_GENV,960,Electronic waste generated (Tonnes),UNITAR / WESR,['12.4'],,2013.0,,,2146823.358,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.4.2'],,EN_EWT_GENV,960,Electronic waste generated (Tonnes),UNITAR / WESR,['12.4'],,2014.0,,,2310888.05,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.4.2'],,EN_EWT_GENV,960,Electronic waste generated (Tonnes),UNITAR / WESR,['12.4'],,2015.0,,,2471775.169,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.4.2'],,EN_EWT_GENV,960,Electronic waste generated (Tonnes),UNITAR / WESR,['12.4'],,2016.0,,,2633118.903,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.4.2'],,EN_EWT_GENV,960,Electronic waste generated (Tonnes),UNITAR / WESR,['12.4'],,2017.0,,,2797377.866,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.4.2'],,EN_EWT_GENV,960,Electronic waste generated (Tonnes),UNITAR / WESR,['12.4'],,2018.0,,,2961591.819,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.4.2'],,EN_EWT_GENV,960,Electronic waste generated (Tonnes),UNITAR / WESR,['12.4'],,2019.0,,,3121361.187,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.4.2'],,EN_EWT_GENV,960,Electronic waste generated (Tonnes),UNITAR / WESR,['12.4'],,2020.0,,,3268033.081,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],2,Africa,,['12'],['12.4.2'],,EN_EWT_GENV,960,Electronic waste generated (Tonnes),UNITAR / WESR,['12.4'],,2021.0,,,3408437.945,Float
